impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-146402,A664603,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664603,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,"May 21, 2022",Received on,11000 block of  24TH PL SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664603,Image Copyright HLP Inc. 2022,"Received on: 2022-05-21<p/> Found Near: 11000 block of  24TH PL SW<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145334,A661664,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2423515,LOST,Rugen,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Apr 14, 2022",Date Lost,148TH  AND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2423515,Image Copyright HLP Inc. 2022,"Description: male grey and black tabby where his strips turn to dots on his back. polydactyl. <p/>Age: Over 1 year<p/>Location Lost: 148th and 250, Kent WA  98042<p/>Lost Date: 2022-04-14<p/>",
K22-145905,A663389,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433573,LOST,Alfred,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"May 05, 2022",Date Lost,SE  171ST PLACE AND WOODSIDE DRICE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433573,Image Copyright HLP Inc. 2022,"Description: Alfred is a 10 month old tuxedo cat. He has a black nose, white collar, white whiskers, and white paws. He weighs approximately 9lbs.<p/>Age: Under 1 year<p/>Location Lost: SE 171st Place and Woodside Drice, Renton WA  98058<p/>Lost Date: May  5 202<p/>",
K22-146359,A664496,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2439783,LOST,Andres,Dog,Over 1 year<p/>,Male,Pug,White,"May 19, 2022",Date Lost,119TH  AVE SE,SE 56,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2439783,Image Copyright HLP Inc. 2022,"Description: Small dog under 25 pounds White with a little brown. pug beagle mix. A very apparent underbite. no collar or harness but he does have a chip in him i just don’t know the number. <p/>Age: Over 1 year<p/>Location Lost: 119th ave SE, SE 56th st, Bellevue WA  98006<p/>Lost Date: 2022-05-19<p/>",
K22-145548,A662481,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,1 YEAR,Male,Domestic Shorthair,Gray,"Apr 24, 2022",Received on,28400 block of  85TH AVE S,KENT,WA,98032,KING COUNTY,,,,Image Copyright HLP Inc. 2022,Received on: 2022-04-24<p/> Found Near: 28400 block of  85TH AVE S<p/> Description: Gray Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/>,
K22-144810,A433060,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A433060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Stryker,Dog,11 YEARS 2 MONTHS,Neutered Male,Dutch Sheepdog,Bl Brindle / Black,"Mar 23, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A433060,Image Copyright HLP Inc. 2022,"Received on: 2022-03-23<p/> Description: Bl Brindle / Black<p/>  Neutered Male Dutch Sheepdog Dog<p/> Age: 11 YEARS 2 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Stryker and I am available for adoption.  I weigh 55 pounds.<p/><p/>I was brought in by my previous owner on 02/16/22 because they were moving into a home that doesn't allow dogs. I lived in a home with 2 kids ages 15 and 5 years old. My previous owner described me as a strong personality and protective of my people. I am not a fan of fireworks and don't like having my collar grabbed. <p/><p/>I am practicing how to ""sit"", ""stay"", ""come"", and ""down"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I cannot live with cats or other small animals.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-146386,A664564,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440245,LOST,Mylie,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"May 20, 2022",Date Lost,SE  271ST ST & 220TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440245,Image Copyright HLP Inc. 2022,"Description: Small long hair gray and white,.fluffy tail, white feet<p/>Age: Over 1 year<p/>Location Lost: SE 271st St & 220th Ave SE, Maple Valley WA  98038<p/>Lost Date: 2022-05-20<p/>",
K22-145948,A663493,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2434259,In Public Home,,Cat,,Female,Domestic Longhair,Black,"May 02, 2022",Date Found,KENT  WEST HILL 249TH & 38TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2434259,Image Copyright HLP Inc. 2022,<p/>,
K22-145624,A662629,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A662629,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Princess,Dog,1 YEAR,Spayed Female,Pit Bull,White / Red,"Apr 26, 2022",Received on,24200 block of  104TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A662629,Image Copyright HLP Inc. 2022,"Received on: 2022-04-26<p/> Found Near: 24200 block of  104TH AVE SE<p/> Description: White / Red Spayed Female Pit Bull Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K22-145556,A662491,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2428138,In Public Home,,Dog,Unknown<p/>,Male,American Staffordshire,Brown,"Apr 24, 2022",Date Found,RADFORD  DR AND 65TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2428138,Image Copyright HLP Inc. 2022,"Description: Brown, intact male, medium size, Found with a blue harness. Boxer/Pit Mix maybe. Very very friendly. <p/>Age: Unknown<p/>Found Near: Radford Dr and 65th street, Seattle WA  98115<p/>Found Date: 2022-04-24<p/>",
K22-145304,A661560,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2423084,In Public Home,James Anders,Dog,Unknown<p/>,Male,Pit Bull,Brown,"Apr 13, 2022",Date Found,1ST  & 348TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2423084,Image Copyright HLP Inc. 2022,"Description: Red nose breed <p/>Age: Unknown<p/>Found Near: 1st & 348th , Federal Way WA  98003<p/>Found Date: 2022-04-13<p/>",
K22-146095,A663874,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Quake,Cat,7 WEEKS,Male,Domestic Shorthair,Black / White,"May 11, 2022",Received on,12900 block of  SE 275TH ST,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663874,Image Copyright HLP Inc. 2022,Received on: 2022-05-11<p/> Found Near: 12900 block of  SE 275TH ST<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145484,A662272,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2426621,LOST,Bailey,Dog,Over 1 year<p/>,Female,Alaskan Husky,Brown,"Apr 20, 2022",Date Lost,"MERCER  ISLAND, WA",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2426621,Image Copyright HLP Inc. 2022,"Description: beautiful sweet dog, please notify me if you find her<p/>Age: Over 1 year<p/>Location Lost: Mercer Island, WA, Mercer Island WA  98040<p/>Lost Date: 2022-04-20<p/>",
K22-146274,A664317,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Female,Domestic Mediumhair,Dilute Tor,"May 17, 2022",Received on,10900 block of  SE 256TH ST,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664317,Image Copyright HLP Inc. 2022,Received on: 2022-05-17<p/> Found Near: 10900 block of  SE 256TH ST<p/> Description: Dilute Tor Female Domestic Mediumhair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145878,A663291,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433047,LOST,Gray,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Brown,"May 04, 2022",Date Lost,2ND  AVE W & SMITH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433047,Image Copyright HLP Inc. 2022,"Description: 12lbs. Brownish/Apricot coloring. Bushy tail with gray tip. White fur around her mouth/nose. MainCoon similarities but petite<p/>Age: Over 1 year<p/>Location Lost: 2nd Ave W & Smith Ave , Seattle WA  98119<p/>Lost Date: 2022-05-04<p/>",
K22-146388,A664570,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440308,LOST,Nico,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"May 16, 2022",Date Lost,GLENBROOK GLENBROOK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440308,Image Copyright HLP Inc. 2022,"Description: Black cat with a white tuft on chest. About 7 lbs. <p/>Age: Over 1 year<p/>Location Lost: Glenbrook, Kent WA  98042<p/>Lost Date: 2022-05-16<p/>",
K22-145749,A662956,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2430747,LOST,Lucky,Dog,Over 1 year<p/>,Male,Anatolian Shepherd,Brown,"Apr 29, 2022",Date Lost,"14600 block of  NE 145TH ST,",AP,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2430747,Image Copyright HLP Inc. 2022,"Description: He is small, only 17 pounds, slight curl in his tail, white and gray at the tip of his nose / snout. He was wearing an electric range collar.<p/>Age: Over 1 year<p/>Location Lost: 14625 NE 145th St, Apt 219, Woodinville WA  98072<p/>Lost Date: 2022-04-29<p/>",
K22-146323,A664429,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2439288,LOST,Arrow,Cat,Over 1 year<p/>,Male,American Shorthair,White,"May 17, 2022",Date Lost,BOYLSTON  AND EAST OLIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2439288,Image Copyright HLP Inc. 2022,"Description: Cream colored with darker swirls on side. Golden rosette on nose. Medium-shoet hair, medium sized cat. Blue eyes. Very timid and scared.<p/>Age: Over 1 year<p/>Location Lost: Boylston and East Olive, Seattle WA  98122<p/>Lost Date: 2022-05-17<p/>",
K22-146378,A664534,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664534,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 WEEKS,Female,Domestic Shorthair,Black,"May 20, 2022",Received on,16600 block of  40TH AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664534,Image Copyright HLP Inc. 2022,"Received on: 2022-05-20<p/> Found Near: 16600 block of  40TH AVE S<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-146084,A663837,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2436036,LOST,Yoshi,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Unknown,"May 09, 2022",Date Lost,9TH  ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2436036,Image Copyright HLP Inc. 2022,"Description: Yoshi is a small tan chihuahua he has a white stripe down his forehead, and he has a small skin overgrowth inside one of his ear it looks like a small skipy skin ball. <p/>Age: Over 1 year<p/>Location Lost: 9th st se, Auburn WA  98002<p/>Lost Date: 2022-05-09<p/>",
K22-146014,A663689,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435297,LOST,Gogo,Cat,Unknown<p/>,Female,Domestic Mediumhair,Unknown,"Apr 23, 2022",Date Lost,118TH  AND 25TH AVE S,TUKWI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435297,Image Copyright HLP Inc. 2022,"Description: Gogo is about one year; all black; polydactyl. Last seen wearing a pink collar. She’s friendly with both people and dogs, haven’t seen her around other cats. Indoor only but waits for my dog on the dog; has never left the deck before. <p/>Age: Unknown<p/>Location Lost: 118th and 25th Ave S, Tukwila WA, Seattle WA  98168<p/>Lost Date: 2022-04-23<p/>",
K22-146220,A664153,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2437828,LOST,Teddy,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,"May 03, 2022",Date Lost,97TH  & 23RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2437828,Image Copyright HLP Inc. 2022,"Description: Orange/buff/ginger, 12.5-13.5 lbs usually, loves treats, very kind. Has gingivitis but no allergies. <p/>Age: Unknown<p/>Location Lost: 97th & 23rd , Seattle WA  98117<p/>Lost Date: 2022-05-03<p/>",
K22-145959,A661749,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A661749,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dusk,Dog,2 YEARS 1 MONTH,Neutered Male,Pit Bull,Brown / Black,"May 08, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A661749,Image Copyright HLP Inc. 2022,"Received on: 2022-05-08<p/> Description: Brown / Black<p/>  Neutered Male Pit Bull Dog<p/> Age: 2 YEARS 1 MONTH<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Dusk and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on April 15th, 2022. I was adopted then returned April 29th because my adopters schedule changed and didn't have enough time for me. They told RASKC that I got along with everyone and was extremly cuddly. I was adopted once again, but returned on May 9th as I do not do well with children. <p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"", ""with me"" and ""shake"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. I need to live in a home without any young children.<p/><p/>I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. I require patience because everything is brand new so I will need some TLC while I learn. The shelter is unsure if I am crate training yet and teaching me those skills will help tremendously on a road to success! If you and your family are ready to fall in love my awesome self, please check me out!!<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-145466,A662230,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2426467,LOST,Beau,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"Apr 20, 2022",Date Lost,17400 block of  174 AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2426467,Image Copyright HLP Inc. 2022,"Description: Beau is a 10 year old yellow lab who is 80lbs and very friendly<p/>Age: Over 1 year<p/>Location Lost: 17420 174 ave ne, Woodinville WA  98072<p/>Lost Date: 2022-04-20<p/>",
K22-146010,A663673,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435183,LOST,Jake,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"May 07, 2022",Date Lost,BROWNS  POIBNT BVD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435183,Image Copyright HLP Inc. 2022,"Description: A big sweet shy guy we rescued from a hoarding situation in July 2021.  He is just coming into his own ane easily spooked.   <p/>Age: Over 1 year<p/>Location Lost: browns poibnt bvd, Tacoma WA  98422<p/>Lost Date: 2022-05-07<p/>",
K22-145922,A663442,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A663442,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sparky,Dog,2 YEARS,Neutered Male,German Shepherd,Black / Tan,"May 06, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663442,Image Copyright HLP Inc. 2022,"Received on: 2022-05-06<p/> Description: Black / Tan<p/>  Neutered Male German Shepherd Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $225.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Sparky and I am available for adoption.<p/><p/>I was brought in by a family member on May 6, 2022 because my owner passed away. I lived in a home with Chaka(A663443). My previous owner described me as friendly and loves getting attention. <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>I have been known to resource guard, meaning that I am displaying behavior that is intended to convince other dogs or humans to stay away from a particular treasure or ""resource."" If you take me home you will benefit from in home guidance to help to manage and improve this behavior.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
